NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7191e-08,1.0354e-75,3.531e-62,7.5681e-61,1.2712e-62,9.5832e-56,2.6211e-51,9.436e-52,1.5485e-47,4.2027e-41,5.2807e-34,6.7386e-31,1.4221e-25,1.3895e-19,1.7731e-16,1.7459e-12,0.0013061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6,3.642e-70,1.1274e-97,1.8078e-87,5.0999e-91,1.1188e-95,4.0275e-96,3.0599e-91,1.1016e-91,3.9965e-94,1.0931e-89,1.4499e-96,3.1077e-95,4.0588e-98,6.8702e-102,4.0275e-96,1.4499e-96,1.1539e-103,6.9236e-104,1.8937e-99,2.4353e-98,6.6608e-94,3.1077e-95,1.4499e-96,3.0129e-87,4.6117e-65,8.0205e-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4259e-31,6.3095e-80,2.2365e-76,3.0129e-87,6.4079e-84,1.0598e-81,8.0515e-77,3.9047e-88,3.8448e-84,1.7663e-81,4.9828e-85,3.0129e-87,2.9438e-81,3.8448e-84,1.0598e-81,1.4387e-94,3.1077e-95,3.1318e-97,5.0605e-89,1.836e-91,1.7938e-85,2.3794e-92,3.8746e-86,2.3794e-92,6.7125e-96,6.7125e-96,3.319e-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8651e-08,1.3316e-74,1.0275e-73,6.3095e-80,1.6992e-71,2.2193e-74,8.0515e-77,2.2193e-74,6.1172e-72,2.832e-71,6.1647e-74,2.832e-71,1.7391e-77,2.8986e-77,1.0435e-77,6.3585e-82,2.854e-73,8.1141e-79,6.2126e-76,5.0215e-87,6.3585e-82,1.8218e-89,1.7663e-81,8.3692e-87,2.3248e-86,1.0598e-81,6.7125e-96,7.3374e-53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1296,1.1948e-46,4.6837e-69,2.6827e-57,1.301e-68,1.291e-66,9.8845e-64,9.8083e-62,2.1351e-64,2.7457e-63,2.0051e-13,4.9976e-16,2.8762e-75,6.07e-70,1.0275e-73,1.3316e-74,1.0354e-75,1.3419e-76,4.6475e-67,2.854e-73,3.642e-70,1.7391e-77,7.9895e-75,3.8151e-82,6.2609e-78,6.1172e-72,2.2539e-78,4.7937e-75,1.242e-56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0957e-28,9.7327e-60,2.0861e-58,7.6269e-63,2.6827e-57,2.6827e-57,3.5038e-60,2.7245e-61,1.6474e-63,9.9991e-08,1,1,2.1186e-62,2.1186e-62,4.5762e-63,2.1023e-60,5.885e-62,9.8845e-64,4.6837e-69,5.885e-62,2.1684e-68,2.1351e-64,7.6862e-65,4.6475e-67,9.9613e-66,1.6474e-63,4.6837e-69,2.1852e-70,7.8061e-69,0.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2452e-11,1.5727e-51,7.4519e-57,9.436e-52,9.2911e-48,2.0861e-58,2.0382e-52,9.436e-52,5.7946e-58,1.8889e-05,1.1231e-30,NaN,2.5116e-13,5.7946e-58,5.8396e-60,2.0861e-58,2.7245e-61,9.6576e-58,7.5098e-59,1.5727e-51,3.5038e-60,4.5059e-59,6.6919e-09,1.0958e-05,0.55148,1.9706e-11,3.5584e-64,5.7946e-58,1.5972e-55,4.5762e-63,4.9253e-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6,2.4447e-33,2.6415e-53,1.2135e-50,9.436e-52,7.3944e-55,4.3014e-47,2.561e-45,5.6616e-52,3.319e-46,0.1115,0.027994,0.216,0.06089,9.6576e-58,1.5972e-55,1.242e-56,5.7056e-54,5.6616e-52,1.2135e-50,7.5098e-59,1.6096e-57,9.7178e-15,3.853e-19,3.4526e-21,1.3112e-26,0.68864,4.5059e-59,9.5093e-54,5.8396e-60,9.8083e-62,8.5991e-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.5328e-26,3.3708e-50,4.2027e-41,1.9307e-38,4.3348e-49,1.513e-41,9.1483e-44,1.2041e-48,1.9914e-46,4.4711e-57,5.0802e-24,1,3.7711e-13,1.1856e-44,2.5808e-47,1.1856e-44,3.2934e-44,1.9914e-46,3.3708e-50,2.0382e-52,7.2247e-49,0.77493,0.28656,2.3601e-08,1,1,0.021281,0.99882,5.6616e-52,3.4499e-56,3.4234e-54,6.8437e-35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7191e-08,1.1406e-34,6.8969e-37,1.5013e-39,1.1674e-40,1.4782e-35,4.2027e-41,2.5022e-39,1.1856e-44,1.4782e-35,8.5991e-28,0.016796,NaN,4.0746e-33,2.5216e-41,1.1584e-38,4.3014e-47,3.3448e-48,1.5485e-47,9.1483e-44,1.1674e-40,4.3348e-49,1,3.2934e-44,0.69706,1,1,3.9811e-27,0.91466,9.436e-52,1.9608e-42,4.3014e-47,4.1703e-39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.07776,1.4668e-33,1.9457e-40,5.4047e-40,3.193e-36,1.5247e-43,3.2428e-40,1.1495e-36,1.1495e-36,2.4637e-35,4.1381e-37,1.7595e-14,NaN,0.07776,1.1584e-38,2.6009e-49,1.1856e-44,1.1584e-38,2.4637e-35,6.9505e-39,4.2353e-43,5.363e-38,4.1703e-39,0.93812,3.9199e-23,NaN,NaN,NaN,0.99998,1,7.0589e-43,1.1674e-40,3.319e-46,9.436e-52,1.7058e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.3832e-17,1.901e-34,3.1197e-30,4.1062e-35,1.9158e-36,2.4447e-33,1.1318e-32,3.2178e-38,4.2027e-41,6.8437e-35,1.4897e-37,0.216,NaN,2.2452e-11,8.8695e-36,8.8695e-36,1.4782e-35,4.1381e-37,9.0778e-42,1.1495e-36,6.9505e-39,7.0589e-43,2.4829e-37,0.62923,1,NaN,NaN,1,1,1.9158e-36,8.8695e-36,5.489e-44,1.9307e-38,3.2178e-38,2.9552e-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0395e-10,5.363e-38,2.4259e-31,2.4259e-31,6.8437e-35,4.0432e-31,4.1381e-37,1.1144e-28,1.1318e-32,1.4668e-33,2.4637e-35,1.0395e-10,NaN,NaN,1.8574e-28,3.1684e-34,6.6867e-29,1.4443e-29,8.7332e-32,5.2807e-34,5.3217e-36,6.8437e-35,8.8695e-36,5.4047e-40,5.363e-38,0.99996,1,1,1,1.0639e-16,4.1703e-39,1.9457e-40,3.2178e-38,5.3217e-36,7.0045e-41,5.1197e-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.216,1.0889e-22,6.6867e-29,2.4259e-31,4.0746e-33,6.6351e-27,1.1059e-26,2.4072e-29,6.6867e-29,1.8431e-26,4.012e-29,5.0802e-24,0.36,NaN,3.6846e-07,6.791e-33,1.1231e-30,4.0432e-31,3.144e-32,1.1406e-34,1.4332e-27,2.4072e-29,5.2399e-32,4.0432e-31,3.0957e-28,1.8864e-32,1,1,NaN,NaN,1.8008e-20,5.363e-38,9.0078e-40,1.8864e-32,6.8437e-35,1.1318e-32,1.0973e-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0639e-16,8.7332e-32,3.0013e-20,3.9811e-27,1.8718e-30,2.4259e-31,5.1197e-26,3.0718e-26,1.4555e-31,3.0957e-28,6.5839e-25,2.8651e-08,NaN,NaN,2.2627e-13,1.1144e-28,1.1318e-32,1.1318e-32,3.1684e-34,1.1231e-30,1.9307e-38,6.7386e-31,2.4259e-31,2.4072e-29,1.8574e-28,3.1197e-30,3.1197e-30,2.843e-06,NaN,NaN,1.0395e-10,3.1197e-30,8.6659e-30,8.8695e-36,4.0746e-33,6.791e-33,6.6351e-27,0.07776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
